lat,lng,name,address,date,vtemp,vcook,vhygiene,vcontam,vsource
37.871977,-122.267494,PEOPLE'S COFFEE &amp; TEA,2015 SHATTUCK AVE,5/10/2012,1,0,0,0,0
37.8726119,-122.26715,BERKELEY HARDWARE INC.,2145 UNIVERSITY AVE,12/27/2011,0,0,0,0,0
37.872584,-122.267444,CREPES A-GO-GO,2125 UNIVERSITY AVE,8/9/2011,0,0,0,1,0
37.852817,-122.265882,CAFE VALPARAISO,3105 SHATTUCK AVE,6/1/2012,0,0,0,0,0
37.8529849,-122.265917,STARRY PLOUGH,3101 SHATTUCK AVE,6/3/2011,0,0,0,0,0
37.8739133,-122.2685523,BISTRO LIASION,1849 SHATTUCK AVE STE 101,1/10/2012,0,0,0,1,0
37.873404,-122.268832,TRIPLE ROCK BREWERY,1920 SHATTUCK AVE,1/5/2012,0,0,0,0,0
37.873297,-122.268813,SOL Y LUNA,1926 SHATTUCK AVE,3/8/2012,0,0,0,0,0
37.8731859,-122.268916,THAI NOODLE,1936 SHATTUCK AVE,7/23/2012,1,0,0,0,0
37.87239,-122.268728,MCDONALD'S,1998 SHATTUCK AVE,4/23/2012,0,0,0,0,0
37.872527,-122.268669,TURKISH KITCHEN INC.,1984 SHATTUCK AVE,7/16/2012,0,0,0,0,0
37.872374,-122.268947,TAIWAN RESTAURANT,2071 UNIVERSITY AVE,5/2/2012,0,0,0,0,0
37.872354,-122.269123,ANH HONG-BO 7 MON RESTAURANT,2067 UNIVERSITY AVE,3/23/2012,0,0,0,0,0
37.872252,-122.270131,RED TOMATO PIZZA HOUSE,2017 UNIVERSITY AVE,2/9/2012,0,0,0,1,0
37.8736734,-122.2728803,NORTH BERKELEY SENIOR CENTER,1901 HEARST AVE,4/5/2012,0,0,0,0,0
37.8718639,-122.2720735,ATHINEON,1941 UNIVERSITY AVE A,4/4/2012,0,0,0,1,0
37.8718755,-122.2722337,FRED'S MARKET #2,1929 UNIVERSITY AVE,4/9/2012,0,0,0,0,0
37.8717547,-122.2728575,UDUPI PALACE,1901-03 UNIVERSITY AVE,3/8/2012,0,0,0,1,0
37.871738,-122.2732664,TRADER JOE'S,1885 UNIVERSITY AVE,6/20/2012,0,0,0,1,0
37.871547,-122.275497,VENEZIA CAFFE AND RESTAURANTE,1799 UNIVERSITY AVE,2/23/2012,0,0,0,0,0
37.8714705,-122.2770099,LITTLE SAIGON RESTAURANT,1717-A UNIVERSITY AVE,5/4/2012,0,0,0,0,0
37.8730725,-122.2735646,#1 GAS,1900 M L KING JR WY,3/30/2012,0,0,0,0,0
37.8708665,-122.2795029,SPUN SUGAR,1611 UNIVERSITY AVE,6/5/2012,0,0,0,1,0
37.8707192,-122.2806801,THREE STONE HEARTH COMM. KITCHEN,1581 UNIVERSITY AVE,11/21/2011,0,0,0,0,0
37.8710279,-122.2813999,7-ELEVEN/1501UNIV,1501 UNIVERSITY AVE,3/20/2012,0,0,0,0,0
37.8702981,-122.2840615,FELLINI RISTORANTE,1401 UNIVERSITY AVE,6/1/2011,0,0,0,1,0
37.8703689,-122.284492,LEDGER'S LIQUOR,1399 UNIVERSITY AVE,7/26/2012,0,0,0,0,0
37.8531726,-122.2597991,THE SMOKEHOUSE,3115 TELEGRAPH AVE,7/19/2012,1,0,0,0,0
37.8696199,-122.2897351,BERKELEY FOSTER FREEZE,1199 UNIVERSITY AVE,3/26/2012,0,0,0,0,0
37.8694804,-122.2901685,SIAM CUISINE,1181 UNIVERSITY AVE,4/7/2011,0,0,0,0,0
37.869739,-122.291921,EVERETT &amp; JONES BARBECUE,1955 SAN PABLO AVE,7/23/2012,0,0,0,0,0
37.8715976,-122.2926766,BING'S LIQUOR,1801 SAN PABLO AVE,12/14/2011,0,0,0,0,0
37.871004,-122.293162,THE SPANISH TABLE,1814 SAN PABLO AVE,1/10/2012,0,0,0,0,0
37.8707637,-122.2929687,THE ALBATROSS,1822 SAN PABLO AVE,8/11/2011,0,0,0,0,0
37.869984,-122.292732,INDUS FOOD CENTER,1920 SAN PABLO AVE,4/16/2012,0,0,0,0,0
37.869718,-122.292646,HALAL FOOD MARKET,1964 SAN PABLO AVE,8/11/2011,0,0,0,0,0
37.8684129,-122.296973,DAVE'S UNION 76,849 UNIVERSITY AVE,3/29/2012,0,0,0,1,0
37.86832,-122.297439,NUT TREE GAS INC. STORE #833,833 UNIVERSITY AVE,PENDING,-1,-1,-1,-1,-1
37.869754,-122.300235,CHOCOLATIER BLUE PATISSERIE,1809 FOURTH ST A,6/28/2012,0,0,0,0,0
37.868255,-122.299752,SPENGER'S,1919 FOURTH ST,10/6/2011,0,0,0,1,0
37.8699512,-122.3008542,SUR LA TABLE,1808 FOURTH ST,6/28/2012,0,0,0,0,0
37.8703142,-122.3007608,TEANCE FINE TEAS,1780 4TH ST,6/25/2012,0,0,0,0,0
37.8463584,-122.2732852,FRED FINCH YOUTH HOUSE,3404 KING ST,4/12/2012,0,0,0,1,0
37.8703737,-122.3005721,MANHATTAN BAGEL,1789 FOURTH ST,6/25/2012,0,0,0,0,0
37.871785,-122.297186,BAHIA,1718 8TH ST,10/25/2011,0,0,0,0,0
